Longitude,Latitude,OBJECTID,STSSN_ID,YEAR_,MONTH_,DAY_,Commonname,County,CONDITION,CLSL,CWSL,CLOC,CWOC
-81.45280321,30.70550585,52479,MHW2003092201,2003,9,22,Green turtle,Nassau,Moderately decomposed,0,0,49,43.5
-81.00310302,29.21950552,52480,MLB2003092201,2003,9,22,Loggerhead,Volusia,Alive,28.4,24.1,29.7,26
-80.52700286,28.46310535,52481,MMC2003092201,2003,9,22,Loggerhead,Brevard,Severely decomposed,0,0,68,0
-81.68300312,25.84650467,52482,MKT2003092301,2003,9,23,Kemp's ridley,Collier,Moderately decomposed,0,0,52.6,55
-80.18340272,27.20970505,52483,REM2003092301,2003,9,23,Loggerhead,Martin,Moderately decomposed,56,49,0,0
-81.83350317,26.29600478,52484,HXS2003092401,2003,9,24,Loggerhead,Collier,Moderately decomposed,34,27,0,0
-80.09210266,26.2075048,52485,SXO2003092401,2003,9,24,Loggerhead,Broward,Severely decomposed,0,0,0,0
-80.60710288,28.33160531,52486,CCS2003092501,2003,9,25,Green turtle,Brevard,Alive,0,0,43,37.5
-82.75160348,27.73410511,52487,KDS2003092501,2003,9,25,Loggerhead,Pinellas,Severely decomposed,91.6,67.1,96.8,89.4
-85.77540443,30.1559056,52488,NME2003092501,2003,9,25,Loggerhead,Bay,Severely decomposed,73.7,72,77.5,75
-80.59600287,28.39130533,52489,NMY2003092501,2003,9,25,Loggerhead,Brevard,Severely decomposed,0,0,75,68
-81.4337032,30.65030584,52490,PMC2003092501,2003,9,25,Loggerhead,Nassau,Severely decomposed,0,0,68.5,64.1
-81.2243031,29.70120562,52491,RJD2003092501,2003,9,25,Loggerhead,St. Johns,Severely decomposed,80,0,0,0
-82.7862035,28.18440522,52492,TLL2003092501,2003,9,25,Green turtle,Pasco,Alive,35.6,27.4,37.7,31.2
-80.88530298,29.02220547,52493,SDK2003092601,2003,9,26,Loggerhead,Volusia,Fresh dead,68.7,57.2,76.2,73
-80.4152028,27.79890519,52494,SEB2003092601,2003,9,26,Green turtle,Indian River,Fresh dead,0,0,35,31
-82.70060351,28.95640541,52495,TLL2003092601,2003,9,26,Green turtle,Citrus,Alive,34.8,27.2,37.2,31
-80.29710276,27.47150511,52496,AER2003092701,2003,9,27,Green turtle,St. Lucie,Alive,30.7,22.5,0,0
-80.15560267,25.68270466,52497,EMD2003092701,2003,9,27,Loggerhead,Miami-Dade,Moderately decomposed,0,0,82,76
-80.96580301,29.1474055,52498,GAC2003092701,2003,9,27,Loggerhead,Volusia,Fresh dead,0,0,79,69
-82.47840338,27.14440498,52499,JDG2003092701,2003,9,27,Kemp's ridley,Sarasota,Moderately decomposed,44.4,41.7,47.2,47
-82.57840342,27.31230501,52500,JDG2003092702,2003,9,27,Loggerhead,Sarasota,Severely decomposed,71.3,56.9,75.1,69.4
